"25","3970","5000","","http://www.daycounter.com/Calculators/Steinhart-Hart-Thermistor-Calculator.phtml","","",""
"-14","37088.45762066529","","28","4378.875412216749","","-20","49127"
"-13","34967.50996567729","","29","4191.932955833369","","-25","66174"
"-12","32982.7223614317","","30","4014.126702523539","","55","1492"
"-11","31124.46583146691","","31","3844.958007408319","","60","1244"
"-10","29383.85166444284","","32","3683.958123267142","","65","1042"
"-9","27752.67015180829","","33","3530.686254609936","","70","877"
"-8","26223.3347412827","","34","3384.727747990109","","75","741"
"-7","24788.83109785836","","35","3245.692408371433","","80","630"
"-6","23442.67061442045","","36","3113.212932170348","","85","537"
"-5","22178.84795921444","","37","2986.943448336466","","90","460"
"-4","20991.80228784745","","38","2866.558159512744","","95","395"
"-3","19876.38178379337","","39","2751.750075939633","","100","341"
"-2","18827.81122393582","","40","2642.22983533862","","105","295"
"-1","17841.66229492562","","41","2537.724602534618","","110","257"
"0","16913.82641240813","","42","2437.977043058012","","115","224"
"1","16040.48981880217","","43","2342.744365409059","","120","196"
"2","15218.11075657108","","44","2251.797427073554","","",""
"3","14443.39853306213","","45","2164.919899751865","","",""
"4","13713.29431022911","","46","2081.907489606892","","",""
"5","13024.95346809017","","47","2002.5672086523","","",""
"6","12375.72940478387","","48","1926.716693693008","","",""
"7","11763.15864873113","","49","1854.183569497712","","",""
"8","11184.94716982577","","50","1784.804853129532","","",""
"9","10638.95778689053","","","","","",""
"10","10123.19857795642","","","","","",""
"11","9635.812208355219","","","","","",""
"12","9175.06609924429","","","","","",""
"13","8739.343366090241","","","","","",""
"14","8327.134462896549","","","","","",""
"15","7937.029473631697","","","","","",""
"16","7567.710997458722","","","","","",""
"17","7217.947579034402","","","","","",""
"18","6886.587639383201","","","","","",""
"19","6572.553866700149","","","","","",""
"20","6274.838029934206","","","","","",""
"21","5992.496181183694","","","","","",""
"22","5724.644215828523","","","","","",""
"23","5470.453761956665","","","","","",""
"24","5229.148373040154","","","","","",""
"25","5000","","","","","",""
"26","4782.325720790612","","","","","",""
"27","4575.484707449776","","","","","",""
